GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
POL.1.1_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Bolesławiec,NA,NA,Powiat,County,201,NA
POL.1.2_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Dzierżoniów,NA,NA,Powiat,County,202,NA
POL.1.3_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Głogów,NA,NA,Powiat,County,203,NA
POL.1.4_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Góra,NA,NA,Powiat,County,204,NA
POL.1.5_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Jawor,NA,NA,Powiat,County,205,NA
POL.1.7_1,POL,Poland,POL.1_1,Dolnośląskie,NA,JeleniaGóra,NA,NA,Powiat,County,206,NA
POL.1.6_1,POL,Poland,POL.1_1,Dolnośląskie,NA,JeleniaGóra(City),NA,NA,Miastonaprawachpowiatu,Citywithpowiatrights,206,NA
POL.1.8_1,POL,Poland,POL.1_1,Dolnośląskie,NA,KamiennaGóra,NA,NA,Powiat,County,207,NA
POL.1.9_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Kłodzko,NA,NA,Powiat,County,208,NA
POL.1.11_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Legnica,NA,NA,Powiat,County,209,NA
POL.1.10_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Legnica(City),NA,NA,Miastonaprawachpowiatu,Citywithpowiatrights,209,NA
POL.1.12_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Lubań,NA,NA,Powiat,County,210,NA
POL.1.13_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Lubiń,NA,NA,Powiat,County,211,NA
POL.1.14_1,POL,Poland,POL.1_1,Dolnośląskie,NA,LwówekŚląski,NA,NA,Powiat,County,212,NA
POL.1.15_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Milicz,NA,NA,Powiat,County,213,NA
POL.1.16_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Oława,NA,NA,Powiat,County,215,NA
POL.1.17_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Oleśnica,NA,NA,Powiat,County,214,NA
POL.1.18_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Polkowice,NA,NA,Powiat,County,216,NA
POL.1.19_1,POL,Poland,POL.1_1,Dolnośląskie,NA,ŚrodaŚląska,NA,NA,Powiat,County,218,NA
POL.1.20_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Strzelin,NA,NA,Powiat,County,217,NA
POL.1.21_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Świdnica,NA,NA,Powiat,County,219,NA
POL.1.22_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Trzebnica,NA,NA,Powiat,County,220,NA
POL.1.23_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Wałbrzych,NA,NA,Powiat,County,221,NA
POL.1.24_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Wołów,NA,NA,Powiat,County,222,NA
POL.1.26_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Wrocław,NA,NA,Powiat,County,223,NA
POL.1.25_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Wrocław(City),NA,NA,Miastonaprawachpowiatu,Citywithpowiatrights,223,NA
POL.1.27_1,POL,Poland,POL.1_1,Dolnośląskie,NA,ZąbkowiceŚląskie,NA,NA,Powiat,County,224,NA
POL.1.28_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Zgorzelec,NA,NA,Powiat,County,225,NA
POL.1.29_1,POL,Poland,POL.1_1,Dolnośląskie,NA,Złotoryja,NA,NA,Powiat,County,226,NA
POL.2.1_1,POL,Poland,POL.2_1,Kujawsko-Pomorskie,NA,Aleksandrów,NA,NA,Powiat,County,401,NA
POL.2.2_1,POL,Poland,POL.2_1,Kujawsko-Pomorskie,NA,Brodnica,NA,NA,Powiat,County,402,NA
POL.2.4_1,POL,Poland,POL.2_1,Kujawsko-Pomorskie,NA,Bydgoszcz,NA,NA,Powiat,County,403,NA
POL.2.3_1,POL,Poland,POL.2_1,Kujawsko-Pomorskie,NA,Bydgoszcz(City),NA,NA,Miastonaprawachpowiatu,Citywithpowiatrights,403,NA
POL.2.5_1,POL,Poland,POL.2_1,Kujawsko-Pomorskie,NA,Chełmno,NA,NA,Powiat,County,404,NA
POL.2.6_1,POL,Poland,POL.2_1,Kujawsko-Pomorskie,NA,Golub-Dobrzyń,NA,NA,Powiat,County,405,NA
POL.2.8_1,POL,Poland,POL.2_1,Kujawsko-Pomorskie,NA,Grudziądz,NA,NA,Powiat,County,406,NA
