Level1,Level2,Level3,Level4,Level5,Address,GID_0,GID_0_NAME,GID_1,GID_1_NAME,GID_2,GID_2_NAME,GID_3,GID_3_NAME,GID_4,GID_4_NAME,NumberOfPollingStations,QuickReportsSubmitted,FormSubmitted,PSISubmitted,NumberOfQuestionsAnswered,NumberOfFlaggedAnswers,ObserversWithForms,ObserversWithQuickReports,ObserversWithPSI,ActiveObservers,VisitedPollingStations
Diaspora,Africa de Sud,Cape Town,,,"24 Highwick Drive 7708 Kenilworth, Cape Town",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Africa de Sud,Pretoria,,,"877 Justice Mahomed Street, Pretoria, 0181",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Algeria,Alger,,,"24, rue Abri Arezki, Hydra, Alger, cod poștal 16035",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Angola,Luanda,,,"Rua Ramalho Ortigão, nr. 30, Bairro Alvalade, Luanda",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Argentina,Buenos Aires,,,"Calle Arroyo, nr. 962-970, CP: 1007AAD, Orașul Autonom Buenos Aires",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Armenia,Erevan,,,"Str. Barbusse 15, Erevan, 0028, cartier Arabkir",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Australia,Adelaide,,,"9 Gilbert Street, Ovingham SA 5082",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Australia,Canberra,,,"4 Dalman Crescent, O'Malley, ACT, 2606",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Australia,Melbourne,,,"Suite 10.01A Level 10, 5 Queens Road Melbourne VIC 3004",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Australia,Perth,,,"8 Balga Ave, Balga WA 6061",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Australia,Surfers Paradise,,,"1-2/66 Appel Street, Surfers Paradise, Gold Coast, QLD, 4217",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Australia,Sydney,,,"Suite 4, G-F/83 York Street, CBD, Sydney, NSW, 2000",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Bregenz,,,"Grand Hotel, Platz der Wiener Symphoniker 2, 6900 Bregenz",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Eisenstadt,,,"Kongress Zentrum Eisenstadt Franz Schubert-Platz 6, 7000 Eisenstadt",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Graz,,,"Lendhafen, Lendkai 17 (Mariahilferplatz), 8020 Graz",,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Innsbruck,,,"Hotel Congress, Rennweg 12a, 6020 Innsbruck",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Klagenfurt,,,"Progress-Zentrum, Dr.-Richard-Canaval-Gasse 110, 9020 Klagenfurt",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Linz,,,"Bischöfliches Priesterseminar der Diözese Linz, Harrachstraße 7, 4020 Linz",,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Salzburg,,,"Rudolfskai 50, 5020 Salzburg",,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Sankt Pölten,,,"Haus 1A, Leopoldsaal, Landhausplatz 1, 3100 Sankt Pölten",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Viena,,,"Argentinierstrasse 39, 1040 Viena",,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Viena,,,"Gasometer Spielraum - Guglgasse 8/Gasometer B, 1100 Viena",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Viena,,,"Prinz Eugen Strasse 60, 1040 Viena",,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Viena,,,"Theresianumgasse 25, 1040 Viena",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Azerbaidjan,Baku,,,"B-dul Akad. Hassan Aliyev, nr. 125 A (Narimanov), cod AZ1110 Baku",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Belgia,Antwerpen,,,"Blue Point Antwerpen, Filip Williostraat 9, 2600 Berchem",,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0
Diaspora,Belgia,Arlon,,,"Rue de Musee nr 10, 6700 Arlon",,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
