Level1,Level2,Level3,Level4,Level5,Address,GID_0,GID_0_NAME,GID_1,GID_1_NAME,NumberOfPollingStations,QuickReportsSubmitted,FormSubmitted,PSISubmitted,NumberOfQuestionsAnswered,NumberOfFlaggedAnswers,ObserversWithForms,ObserversWithQuickReports,ObserversWithPSI,TotalObservers
Republica Moldova,Anenii Noi,Anenii Noi,,,"Casa de Cultură, str. Suvorov nr.7",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Anenii Noi,,,"IP Centrul de Creaţie al Elevilor ""Ciocîrlia"", str. Concilierii Naţionale nr.22",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Anenii Noi,,,"Liceul teoretic ""A.Puşkin"" str.Chişinăului nr.26,",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Beriozchi,,,OMF Beriozchi,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Botnăreşti,,,"MD6511, rl Anenii Noi, s.Botnărești. Primăria com.Botnărești",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Bulboaca,,,Fostul magazin CASTEL MIMI str.Dacia nr.1,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Bulboaca,,,"IPGimnaziul ""Anton Guzun""Bulboaca str.A.Mateevici nr.1",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Calfa,,,"IPGimnaziul ""Visegrad"" Calfa str.Concilierii nr.10",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Chetrosu,,,Căminul cultural din s.Chetrosu str.I.Creangă nr.2,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Chetrosu,,,"IP Gimnaziul ""Gr.Vieru"" str. Frunze nr.24",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Chirca,,,IP Gimnaziul s.Chirca (cantina) str.Păcii nr.147,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Ciobanovca,,,IPGimnaziul Ciobanovca,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
