Level1,Level2,Level3,Level4,Level5,Address,GID_0,GID_0_NAME,GID_1,GID_1_NAME,GID_2,GID_2_NAME,GID_3,GID_3_NAME,GID_4,GID_4_NAME,NumberOfPollingStations,QuickReportsSubmitted,FormSubmitted,PSISubmitted,NumberOfQuestionsAnswered,NumberOfFlaggedAnswers,ObserversWithForms,ObserversWithQuickReports,ObserversWithPSI,ActiveObservers,VisitedPollingStations
България,БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,,"КЛУБ НА ПЕНСИОНЕРА, ул.""ЦАР СИМЕОН"" №54",BGR,Bulgaria,BGR.1_1,Благоевград,,,,,,,1,0,0,0,0,0,0,0,0,0,0
България,БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,,"НАЧАЛНО УЧИЛИЩЕ ""СВ. ПАИСИЙ ХИЛИНДАРСКИ"",  ПЛ.""ВЪЗРАЖДАНЕ"" №3",BGR,Bulgaria,BGR.1_1,Благоевград,,,,,,,1,0,0,0,0,0,0,0,0,0,0
България,БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,,"НАЧАЛНО УЧИЛИЩЕ ""СВ. ПАИСИЙ ХИЛИНДАРСКИ"", ПЛ. ""ВЪЗРАЖДАНЕ"" №3",BGR,Bulgaria,BGR.1_1,Благоевград,,,,,,,1,0,0,0,0,0,0,0,0,0,0
България,БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,,"НАЧАЛНО УЧИЛИЩЕ ""СВ. ПАИСИЙ ХИЛИНДАРСКИ"", ПЛ.""ВЪЗРАЖДАНЕ"" №3",BGR,Bulgaria,BGR.1_1,Благоевград,,,,,,,2,0,0,0,0,0,0,0,0,0,0
България,БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,,"ПЛТГ""Н.ВАПЦАРОВ"" (ГОРСКИ ТЕХНИКУМ), УЛ.""БЪЛГАРИЯ"" №31",BGR,Bulgaria,BGR.1_1,Благоевград,,,,,,,4,0,0,0,0,0,0,0,0,0,0
България,БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,,"СОУ ""НЕОФИТ РИЛСКИ"", УЛ. ""ТОДОР АЛЕКСАНДРОВ"" № 9Б",BGR,Bulgaria,BGR.1_1,Благоевград,,,,,,,2,0,0,0,0,0,0,0,0,0,0
България,БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,,"СОУ ""НЕОФИТ РИЛСКИ"", УЛ.""ТОДОР АЛЕКСАНДРОВ"" №9Б",BGR,Bulgaria,BGR.1_1,Благоевград,,,,,,,1,0,0,0,0,0,0,0,0,0,0
България,БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,,"ЧИТАЛИЩЕ ""НИКОЛА ВАПЦАРОВ"", ПЛ. ""НИКОЛА ВАПЦАРОВ"" №14",BGR,Bulgaria,BGR.1_1,Благоевград,,,,,,,1,0,0,0,0,0,0,0,0,0,0
България,БЛАГОЕВГРАД,БАНСКО,ГР.ДОБРИНИЩЕ,,"КЛУБ НА ПЕНСИОНЕРА, УЛ. ""ТЪРГОВСКА"" № 16",BGR,Bulgaria,BGR.1_1,Благоевград,,,,,,,1,0,0,0,0,0,0,0,0,0,0
България,БЛАГОЕВГРАД,БАНСКО,ГР.ДОБРИНИЩЕ,,"ОСНОВНО УЧИЛИЩЕ ""СВ. КЛИМЕНТ ОХРИДСКИ"", УЛ. ""ИВАН ГАЛЧЕВ"" №21",BGR,Bulgaria,BGR.1_1,Благоевград,,,,,,,2,0,0,0,0,0,0,0,0,0,0
